0.png|1|57|48|57|48
1.png|1|47|39|72|62
10.png|1|91|42|114|66
11.png|1|91|42|112|64
12.png|1|93|42|112|60
13.png|1|87|42|107|59
14.png|1|83|40|102|57
15.png|1|74|38|91|54
16.png|1|67|39|82|57
17.png|1|64|39|78|57
18.png|1|72|64|55|85
19.png|1|31|70|52|95
2.png|1|67|43|94|67
20.png|1|24|63|44|87
21.png|1|24|60|40|84
22.png|1|28|50|46|70
23.png|1|40|47|49|66
24.png|1|46|42|61|54
25.png|1|87|42|99|76
26.png|1|82|44|97|70
27.png|1|82|43|97|70
28.png|1|76|49|88|75
29.png|1|78|50|92|75
3.png|1|68|45|94|63
30.png|1|82|52|91|75
31.png|1|71|52|85|72
32.png|1|68|51|82|75
33.png|1|74|53|87|72
34.png|1|28|43|10|78
35.png|1|14|44|37|79
36.png|1|27|47|53|80
37.png|1|39|45|61|86
38.png|1|44|46|66|86
39.png|1|44|47|67|85
4.png|1|60|46|88|74
40.png|1|42|44|66|81
41.png|1|43|63|68|94
42.png|1|80|47|97|75
43.png|1|70|38|92|71
44.png|1|61|38|79|66
45.png|1|88|40|68|69
46.png|1|67|59|79|89
47.png|1|44|3|110|50
48.png|1|28|5|96|57
5.png|1|61|47|85|65
6.png|1|69|44|88|65
7.png|1|76|45|96|63
8.png|1|79|44|101|65
9.png|1|89|40|108|65
